,0,1,# of Shots 8,Example Paths 8,Example Categories 8,# of Shots 4,Example Paths 4,Example Categories 4,# of Shots 2,Example Paths 2,Example Categories 2,# of Shots 1,Example Paths 1,Example Categories 1,# of Shots 0,Example Paths 0,Example Categories 0
72,data/deepweeds/images/20171113-132754-3.jpg,Siam weed,Rubber vine,"['data/deepweeds/images/20171113-142059-2.jpg', 'data/deepweeds/images/20170728-153152-2.jpg', 'data/deepweeds/images/20170727-164330-1.jpg', 'data/deepweeds/images/20171109-093551-2.jpg', 'data/deepweeds/images/20170718-132737-2.jpg', 'data/deepweeds/images/20170714-120304-3.jpg', 'data/deepweeds/images/20170127-101415-0.jpg', 'data/deepweeds/images/20171025-074729-2.jpg']","['Siam weed', 'Prickly acacia', 'Prickly acacia', 'Rubber vine', 'Snake weed', 'Lantana', 'Lantana', 'Parthenium']",Rubber vine,"['data/deepweeds/images/20170811-162102-1.jpg', 'data/deepweeds/images/20171109-093602-2.jpg', 'data/deepweeds/images/20170913-121432-3.jpg', 'data/deepweeds/images/20170718-132000-2.jpg']","['Chinee apple', 'Rubber vine', 'Parthenium', 'Chinee apple']",Rubber vine,"['data/deepweeds/images/20170811-163650-1.jpg', 'data/deepweeds/images/20170127-101415-0.jpg']","['Chinee apple', 'Lantana']",Rubber vine,['data/deepweeds/images/20170728-153152-2.jpg'],['Prickly acacia'],Rubber vine,[],[]
73,data/deepweeds/images/20171109-073321-3.jpg,Rubber vine,Rubber vine,"['data/deepweeds/images/20171113-142059-2.jpg', 'data/deepweeds/images/20171113-132754-3.jpg', 'data/deepweeds/images/20170906-105453-1.jpg', 'data/deepweeds/images/20171025-082133-3.jpg', 'data/deepweeds/images/20170127-101415-0.jpg', 'data/deepweeds/images/20171113-143028-3.jpg', 'data/deepweeds/images/20180112-072356-2.jpg', 'data/deepweeds/images/20170405-160013-0.jpg']","['Siam weed', 'Siam weed', 'Parthenium', 'Parthenium', 'Lantana', 'Siam weed', 'Negative', 'Chinee apple']",Lantana,"['data/deepweeds/images/20171025-082439-1.jpg', 'data/deepweeds/images/20170920-114717-3.jpg', 'data/deepweeds/images/20170811-133144-1.jpg', 'data/deepweeds/images/20170705-165040-0.jpg']","['Chinee apple', 'Parkinsonia', 'Chinee apple', 'Snake weed']",Lantana,"['data/deepweeds/images/20171109-091107-1.jpg', 'data/deepweeds/images/20170728-152004-1.jpg']","['Rubber vine', 'Prickly acacia']",Lantana,['data/deepweeds/images/20171109-093602-2.jpg'],['Rubber vine'],Lantana,[],[]
74,data/deepweeds/images/20170728-120256-2.jpg,Prickly acacia,Lantana,"['data/deepweeds/images/20170920-095313-3.jpg', 'data/deepweeds/images/20180109-080158-1.jpg', 'data/deepweeds/images/20171025-080031-3.jpg', 'data/deepweeds/images/20170811-162102-1.jpg', 'data/deepweeds/images/20170210-142422-0.jpg', 'data/deepweeds/images/20170913-110133-3.jpg', 'data/deepweeds/images/20170811-163650-1.jpg', 'data/deepweeds/images/20171113-132015-3.jpg']","['Parkinsonia', 'Negative', 'Parthenium', 'Chinee apple', 'Snake weed', 'Rubber vine', 'Chinee apple', 'Siam weed']",Negative,"['data/deepweeds/images/20170920-101034-2.jpg', 'data/deepweeds/images/20170811-162102-1.jpg', 'data/deepweeds/images/20170706-130402-3.jpg', 'data/deepweeds/images/20171113-142238-2.jpg']","['Parkinsonia', 'Chinee apple', 'Lantana', 'Siam weed']",Lantana,"['data/deepweeds/images/20171102-120816-1.jpg', 'data/deepweeds/images/20171025-074729-2.jpg']","['Parkinsonia', 'Parthenium']",Negative,['data/deepweeds/images/20170718-132737-2.jpg'],['Snake weed'],Negative,[],[]
75,data/deepweeds/images/20171025-100510-2.jpg,Parthenium,Parkinsonia,"['data/deepweeds/images/20171102-121717-1.jpg', 'data/deepweeds/images/20171113-133118-3.jpg', 'data/deepweeds/images/20170811-104825-2.jpg', 'data/deepweeds/images/20170127-101415-0.jpg', 'data/deepweeds/images/20171113-142238-2.jpg', 'data/deepweeds/images/20170718-132737-2.jpg', 'data/deepweeds/images/20171109-093551-2.jpg', 'data/deepweeds/images/20170714-142559-2.jpg']","['Parkinsonia', 'Siam weed', 'Chinee apple', 'Lantana', 'Siam weed', 'Snake weed', 'Rubber vine', 'Lantana']",Snake weed,"['data/deepweeds/images/20170410-160127-0.jpg', 'data/deepweeds/images/20180112-072618-2.jpg', 'data/deepweeds/images/20171109-194851-1.jpg', 'data/deepweeds/images/20170627-104853-0.jpg']","['Snake weed', 'Negative', 'Rubber vine', 'Snake weed']",Parthenium,"['data/deepweeds/images/20170913-110133-3.jpg', 'data/deepweeds/images/20170627-104853-0.jpg']","['Rubber vine', 'Snake weed']",Lantana,['data/deepweeds/images/20170210-133043-0.jpg'],['Chinee apple'],Lantana,[],[]
76,data/deepweeds/images/20171205-134436-2.jpg,Negative,Negative,"['data/deepweeds/images/20170714-110205-1.jpg', 'data/deepweeds/images/20171102-121717-1.jpg', 'data/deepweeds/images/20171109-093143-1.jpg', 'data/deepweeds/images/20171025-082439-1.jpg', 'data/deepweeds/images/20170920-095313-3.jpg', 'data/deepweeds/images/20170920-111042-3.jpg', 'data/deepweeds/images/20170811-133144-1.jpg', 'data/deepweeds/images/20170920-130439-2.jpg']","['Lantana', 'Parkinsonia', 'Rubber vine', 'Chinee apple', 'Parkinsonia', 'Prickly acacia', 'Chinee apple', 'Parkinsonia']",Negative,"['data/deepweeds/images/20180112-072356-2.jpg', 'data/deepweeds/images/20170920-110443-2.jpg', 'data/deepweeds/images/20170706-112624-0.jpg', 'data/deepweeds/images/20170727-124521-1.jpg']","['Negative', 'Parkinsonia', 'Snake weed', 'Prickly acacia']",Negative,"['data/deepweeds/images/20170706-112624-0.jpg', 'data/deepweeds/images/20171025-100510-2.jpg']","['Snake weed', 'Parthenium']",Negative,['data/deepweeds/images/20170718-132737-2.jpg'],['Snake weed'],Negative,[],[]
77,data/deepweeds/images/20171102-123535-3.jpg,Parkinsonia,Prickly acacia,"['data/deepweeds/images/20171025-082439-1.jpg', 'data/deepweeds/images/20170728-152004-1.jpg', 'data/deepweeds/images/20171109-073321-3.jpg', 'data/deepweeds/images/20170811-162102-1.jpg', 'data/deepweeds/images/20170729-092929-2.jpg', 'data/deepweeds/images/20171109-093143-1.jpg', 'data/deepweeds/images/20171025-074729-2.jpg', 'data/deepweeds/images/20170627-104853-0.jpg']","['Chinee apple', 'Prickly acacia', 'Rubber vine', 'Chinee apple', 'Prickly acacia', 'Rubber vine', 'Parthenium', 'Snake weed']",Negative,"['data/deepweeds/images/20170706-130402-3.jpg', 'data/deepweeds/images/20170714-110205-1.jpg', 'data/deepweeds/images/20171025-074729-2.jpg', 'data/deepweeds/images/20171025-075255-3.jpg']","['Lantana', 'Lantana', 'Parthenium', 'Parthenium']",Prickly acacia,"['data/deepweeds/images/20171109-074327-1.jpg', 'data/deepweeds/images/20170920-101034-2.jpg']","['Rubber vine', 'Parkinsonia']",Negative,['data/deepweeds/images/20170127-101415-0.jpg'],['Lantana'],Negative,[],[]
78,data/deepweeds/images/20170729-090327-1.jpg,Prickly acacia,Prickly acacia,"['data/deepweeds/images/20170920-130439-2.jpg', 'data/deepweeds/images/20171025-074729-2.jpg', 'data/deepweeds/images/20171025-080031-3.jpg', 'data/deepweeds/images/20180109-080158-1.jpg', 'data/deepweeds/images/20171113-092801-1.jpg', 'data/deepweeds/images/20171109-093602-2.jpg', 'data/deepweeds/images/20171212-094952-1.jpg', 'data/deepweeds/images/20170705-165040-0.jpg']","['Parkinsonia', 'Parthenium', 'Parthenium', 'Negative', 'Rubber vine', 'Rubber vine', 'Negative', 'Snake weed']",Parkinsonia,"['data/deepweeds/images/20170714-140705-1.jpg', 'data/deepweeds/images/20170126-095837-0.jpg', 'data/deepweeds/images/20171109-093204-2.jpg', 'data/deepweeds/images/20171109-091335-3.jpg']","['Lantana', 'Lantana', 'Rubber vine', 'Rubber vine']",Snake weed,"['data/deepweeds/images/20170727-124521-1.jpg', 'data/deepweeds/images/20170718-132000-2.jpg']","['Prickly acacia', 'Chinee apple']",Snake weed,['data/deepweeds/images/20171025-082133-3.jpg'],['Parthenium'],Prickly acacia,[],[]
79,data/deepweeds/images/20170727-120008-3.jpg,Prickly acacia,Prickly acacia,"['data/deepweeds/images/20171025-082114-2.jpg', 'data/deepweeds/images/20171109-093204-2.jpg', 'data/deepweeds/images/20170727-113159-1.jpg', 'data/deepweeds/images/20180112-072356-2.jpg', 'data/deepweeds/images/20170906-095420-4.jpg', 'data/deepweeds/images/20171025-082133-3.jpg', 'data/deepweeds/images/20171109-093143-1.jpg', 'data/deepweeds/images/20170630-154706-0.jpg']","['Parthenium', 'Rubber vine', 'Prickly acacia', 'Negative', 'Parthenium', 'Parthenium', 'Rubber vine', 'Snake weed']",Snake weed,"['data/deepweeds/images/20180112-072618-2.jpg', 'data/deepweeds/images/20170210-142422-0.jpg', 'data/deepweeds/images/20170127-101927-0.jpg', 'data/deepweeds/images/20171212-094952-1.jpg']","['Negative', 'Snake weed', 'Lantana', 'Negative']",Prickly acacia,"['data/deepweeds/images/20170714-142559-2.jpg', 'data/deepweeds/images/20170727-113159-1.jpg']","['Lantana', 'Prickly acacia']",Rubber vine,['data/deepweeds/images/20170913-110133-3.jpg'],['Rubber vine'],Rubber vine,[],[]
80,data/deepweeds/images/20171109-093602-2.jpg,Rubber vine,Lantana,"['data/deepweeds/images/20170920-172144-1.jpg', 'data/deepweeds/images/20170811-130004-1.jpg', 'data/deepweeds/images/20170714-110205-1.jpg', 'data/deepweeds/images/20170906-105453-1.jpg', 'data/deepweeds/images/20171025-080031-3.jpg', 'data/deepweeds/images/20170729-092929-2.jpg', 'data/deepweeds/images/20171109-093551-2.jpg', 'data/deepweeds/images/20170906-095420-4.jpg']","['Parkinsonia', 'Chinee apple', 'Lantana', 'Parthenium', 'Parthenium', 'Prickly acacia', 'Rubber vine', 'Parthenium']",Parthenium,"['data/deepweeds/images/20170706-130402-3.jpg', 'data/deepweeds/images/20171212-095841-3.jpg', 'data/deepweeds/images/20171109-093143-1.jpg', 'data/deepweeds/images/20171109-091335-3.jpg']","['Lantana', 'Negative', 'Rubber vine', 'Rubber vine']",Parthenium,"['data/deepweeds/images/20170715-174216-1.jpg', 'data/deepweeds/images/20171025-080031-3.jpg']","['Lantana', 'Parthenium']",Lantana,['data/deepweeds/images/20170729-090327-1.jpg'],['Prickly acacia'],Snake weed,[],[]
81,data/deepweeds/images/20170718-132237-2.jpg,Snake weed,Rubber vine,"['data/deepweeds/images/20170714-140705-1.jpg', 'data/deepweeds/images/20170714-110205-1.jpg', 'data/deepweeds/images/20170728-152004-1.jpg', 'data/deepweeds/images/20170811-162102-1.jpg', 'data/deepweeds/images/20170727-164330-1.jpg', 'data/deepweeds/images/20170811-104825-2.jpg', 'data/deepweeds/images/20171025-100416-2.jpg', 'data/deepweeds/images/20170714-120648-3.jpg']","['Lantana', 'Lantana', 'Prickly acacia', 'Chinee apple', 'Prickly acacia', 'Chinee apple', 'Parthenium', 'Lantana']",Lantana,"['data/deepweeds/images/20171109-093204-2.jpg', 'data/deepweeds/images/20171109-091335-3.jpg', 'data/deepweeds/images/20170811-104825-2.jpg', 'data/deepweeds/images/20171025-100510-2.jpg']","['Rubber vine', 'Rubber vine', 'Chinee apple', 'Parthenium']",Lantana,"['data/deepweeds/images/20171113-140251-1.jpg', 'data/deepweeds/images/20171109-073321-3.jpg']","['Siam weed', 'Rubber vine']",Lantana,['data/deepweeds/images/20170410-160127-0.jpg'],['Snake weed'],Lantana,[],[]
82,data/deepweeds/images/20180109-080158-1.jpg,Negative,Parthenium,"['data/deepweeds/images/20170729-090327-1.jpg', 'data/deepweeds/images/20170714-110205-1.jpg', 'data/deepweeds/images/20170714-142559-2.jpg', 'data/deepweeds/images/20171205-134436-2.jpg', 'data/deepweeds/images/20170210-142647-0.jpg', 'data/deepweeds/images/20170727-113159-1.jpg', 'data/deepweeds/images/20170714-120022-3.jpg', 'data/deepweeds/images/20170913-110133-3.jpg']","['Prickly acacia', 'Lantana', 'Lantana', 'Negative', 'Snake weed', 'Prickly acacia', 'Lantana', 'Rubber vine']",Snake weed,"['data/deepweeds/images/20171113-132754-3.jpg', 'data/deepweeds/images/20170811-162102-1.jpg', 'data/deepweeds/images/20180112-081137-2.jpg', 'data/deepweeds/images/20170126-095837-0.jpg']","['Siam weed', 'Chinee apple', 'Negative', 'Lantana']",Snake weed,"['data/deepweeds/images/20170727-164330-1.jpg', 'data/deepweeds/images/20170127-101927-0.jpg']","['Prickly acacia', 'Lantana']",Negative,['data/deepweeds/images/20170714-110205-1.jpg'],['Lantana'],Snake weed,[],[]
83,data/deepweeds/images/20170811-163650-1.jpg,Chinee apple,Lantana,"['data/deepweeds/images/20171109-194851-1.jpg', 'data/deepweeds/images/20170727-120008-3.jpg', 'data/deepweeds/images/20170729-090327-1.jpg', 'data/deepweeds/images/20180112-081137-2.jpg', 'data/deepweeds/images/20171025-082133-3.jpg', 'data/deepweeds/images/20171102-123535-3.jpg', 'data/deepweeds/images/20171109-091107-1.jpg', 'data/deepweeds/images/20170210-142848-0.jpg']","['Rubber vine', 'Prickly acacia', 'Prickly acacia', 'Negative', 'Parthenium', 'Parkinsonia', 'Rubber vine', 'Snake weed']",Rubber vine,"['data/deepweeds/images/20170811-162102-1.jpg', 'data/deepweeds/images/20170210-142848-0.jpg', 'data/deepweeds/images/20171025-092626-2.jpg', 'data/deepweeds/images/20180125-100709-2.jpg']","['Chinee apple', 'Snake weed', 'Parthenium', 'Negative']",Lantana,"['data/deepweeds/images/20171102-123535-3.jpg', 'data/deepweeds/images/20170410-160127-0.jpg']","['Parkinsonia', 'Snake weed']",Rubber vine,['data/deepweeds/images/20170718-132737-2.jpg'],['Snake weed'],Rubber vine,[],[]
84,data/deepweeds/images/20171113-135152-1.jpg,Siam weed,Lantana,"['data/deepweeds/images/20171102-103736-2.jpg', 'data/deepweeds/images/20171102-121717-1.jpg', 'data/deepweeds/images/20170920-095313-3.jpg', 'data/deepweeds/images/20171113-142238-2.jpg', 'data/deepweeds/images/20171212-094952-1.jpg', 'data/deepweeds/images/20170727-124521-1.jpg', 'data/deepweeds/images/20170920-130439-2.jpg', 'data/deepweeds/images/20171025-082133-3.jpg']","['Parkinsonia', 'Parkinsonia', 'Parkinsonia', 'Siam weed', 'Negative', 'Prickly acacia', 'Parkinsonia', 'Parthenium']",Siam weed,"['data/deepweeds/images/20170627-104853-0.jpg', 'data/deepweeds/images/20171212-095841-3.jpg', 'data/deepweeds/images/20170920-110443-2.jpg', 'data/deepweeds/images/20171102-121717-1.jpg']","['Snake weed', 'Negative', 'Parkinsonia', 'Parkinsonia']",Siam weed,"['data/deepweeds/images/20171025-082439-1.jpg', 'data/deepweeds/images/20170714-140705-1.jpg']","['Chinee apple', 'Lantana']",Siam weed,['data/deepweeds/images/20170728-152004-1.jpg'],['Prickly acacia'],Snake weed,[],[]
85,data/deepweeds/images/20170127-101927-0.jpg,Lantana,Siam weed,"['data/deepweeds/images/20170718-132000-2.jpg', 'data/deepweeds/images/20170210-142422-0.jpg', 'data/deepweeds/images/20180112-072356-2.jpg', 'data/deepweeds/images/20170210-133043-0.jpg', 'data/deepweeds/images/20171109-073321-3.jpg', 'data/deepweeds/images/20171113-132754-3.jpg', 'data/deepweeds/images/20171109-091335-3.jpg', 'data/deepweeds/images/20171113-132015-3.jpg']","['Chinee apple', 'Snake weed', 'Negative', 'Chinee apple', 'Rubber vine', 'Siam weed', 'Rubber vine', 'Siam weed']",Parthenium,"['data/deepweeds/images/20180109-105153-1.jpg', 'data/deepweeds/images/20170304-124640-0.jpg', 'data/deepweeds/images/20170913-110133-3.jpg', 'data/deepweeds/images/20171212-095841-3.jpg']","['Negative', 'Chinee apple', 'Rubber vine', 'Negative']",Parthenium,"['data/deepweeds/images/20171113-135152-1.jpg', 'data/deepweeds/images/20170630-154442-0.jpg']","['Siam weed', 'Snake weed']",Parthenium,['data/deepweeds/images/20170920-172144-1.jpg'],['Parkinsonia'],Snake weed,[],[]
86,data/deepweeds/images/20170718-132000-2.jpg,Chinee apple,Lantana,"['data/deepweeds/images/20171109-093551-2.jpg', 'data/deepweeds/images/20171025-082133-3.jpg', 'data/deepweeds/images/20170920-172144-1.jpg', 'data/deepweeds/images/20170706-112624-0.jpg', 'data/deepweeds/images/20171109-074327-1.jpg', 'data/deepweeds/images/20170728-120256-2.jpg', 'data/deepweeds/images/20170728-153152-2.jpg', 'data/deepweeds/images/20170727-124521-1.jpg']","['Rubber vine', 'Parthenium', 'Parkinsonia', 'Snake weed', 'Rubber vine', 'Prickly acacia', 'Prickly acacia', 'Prickly acacia']",Lantana,"['data/deepweeds/images/20180112-072618-2.jpg', 'data/deepweeds/images/20170727-164330-1.jpg', 'data/deepweeds/images/20171025-082439-1.jpg', 'data/deepweeds/images/20170811-130004-1.jpg']","['Negative', 'Prickly acacia', 'Chinee apple', 'Chinee apple']",Lantana,"['data/deepweeds/images/20170728-120256-2.jpg', 'data/deepweeds/images/20171025-082114-2.jpg']","['Prickly acacia', 'Parthenium']",Lantana,['data/deepweeds/images/20170920-101034-2.jpg'],['Parkinsonia'],Lantana,[],[]
87,data/deepweeds/images/20171212-095841-3.jpg,Negative,Negative,"['data/deepweeds/images/20171025-074729-2.jpg', 'data/deepweeds/images/20171113-132754-3.jpg', 'data/deepweeds/images/20180125-100709-2.jpg', 'data/deepweeds/images/20170715-174216-1.jpg', 'data/deepweeds/images/20170920-130439-2.jpg', 'data/deepweeds/images/20170811-130004-1.jpg', 'data/deepweeds/images/20171113-140251-1.jpg', 'data/deepweeds/images/20170714-142559-2.jpg']","['Parthenium', 'Siam weed', 'Negative', 'Lantana', 'Parkinsonia', 'Chinee apple', 'Siam weed', 'Lantana']",Negative,"['data/deepweeds/images/20171025-082114-2.jpg', 'data/deepweeds/images/20170630-154442-0.jpg', 'data/deepweeds/images/20170906-095420-4.jpg', 'data/deepweeds/images/20170718-132737-2.jpg']","['Parthenium', 'Snake weed', 'Parthenium', 'Snake weed']",Negative,"['data/deepweeds/images/20170920-095313-3.jpg', 'data/deepweeds/images/20170210-133043-0.jpg']","['Parkinsonia', 'Chinee apple']",Negative,['data/deepweeds/images/20170920-101034-2.jpg'],['Parkinsonia'],Negative,[],[]
88,data/deepweeds/images/20171113-092801-1.jpg,Rubber vine,Rubber vine,"['data/deepweeds/images/20171102-121717-1.jpg', 'data/deepweeds/images/20170714-140705-1.jpg', 'data/deepweeds/images/20170718-132000-2.jpg', 'data/deepweeds/images/20171113-133118-3.jpg', 'data/deepweeds/images/20171113-143028-3.jpg', 'data/deepweeds/images/20180112-081137-2.jpg', 'data/deepweeds/images/20170705-165040-0.jpg', 'data/deepweeds/images/20170727-164330-1.jpg']","['Parkinsonia', 'Lantana', 'Chinee apple', 'Siam weed', 'Siam weed', 'Negative', 'Snake weed', 'Prickly acacia']",Lantana,"['data/deepweeds/images/20170920-130439-2.jpg', 'data/deepweeds/images/20171109-194851-1.jpg', 'data/deepweeds/images/20170714-120648-3.jpg', 'data/deepweeds/images/20171102-121717-1.jpg']","['Parkinsonia', 'Rubber vine', 'Lantana', 'Parkinsonia']",Snake weed,"['data/deepweeds/images/20171109-093143-1.jpg', 'data/deepweeds/images/20170210-142422-0.jpg']","['Rubber vine', 'Snake weed']",Siam weed,['data/deepweeds/images/20171113-124517-3.jpg'],['Siam weed'],Rubber vine,[],[]
89,data/deepweeds/images/20170920-111229-2.jpg,Parkinsonia,Prickly acacia,"['data/deepweeds/images/20170715-174216-1.jpg', 'data/deepweeds/images/20171102-121717-1.jpg', 'data/deepweeds/images/20170630-154706-0.jpg', 'data/deepweeds/images/20170714-120022-3.jpg', 'data/deepweeds/images/20170728-153152-2.jpg', 'data/deepweeds/images/20180112-072356-2.jpg', 'data/deepweeds/images/20170811-130004-1.jpg', 'data/deepweeds/images/20170210-142848-0.jpg']","['Lantana', 'Parkinsonia', 'Snake weed', 'Lantana', 'Prickly acacia', 'Negative', 'Chinee apple', 'Snake weed']",Prickly acacia,"['data/deepweeds/images/20171102-103736-2.jpg', 'data/deepweeds/images/20171113-135152-1.jpg', 'data/deepweeds/images/20170715-174216-1.jpg', 'data/deepweeds/images/20180112-072618-2.jpg']","['Parkinsonia', 'Siam weed', 'Lantana', 'Negative']",Prickly acacia,"['data/deepweeds/images/20170729-090327-1.jpg', 'data/deepweeds/images/20171109-073321-3.jpg']","['Prickly acacia', 'Rubber vine']",Prickly acacia,['data/deepweeds/images/20170920-174414-1.jpg'],['Prickly acacia'],Prickly acacia,[],[]
90,data/deepweeds/images/20170906-105453-1.jpg,Parthenium,Parthenium,"['data/deepweeds/images/20171109-074327-1.jpg', 'data/deepweeds/images/20170630-154442-0.jpg', 'data/deepweeds/images/20170728-120256-2.jpg', 'data/deepweeds/images/20171109-194851-1.jpg', 'data/deepweeds/images/20171113-133118-3.jpg', 'data/deepweeds/images/20171113-135507-3.jpg', 'data/deepweeds/images/20171025-082133-3.jpg', 'data/deepweeds/images/20171109-091335-3.jpg']","['Rubber vine', 'Snake weed', 'Prickly acacia', 'Rubber vine', 'Siam weed', 'Siam weed', 'Parthenium', 'Rubber vine']",Parkinsonia,"['data/deepweeds/images/20171025-100416-2.jpg', 'data/deepweeds/images/20170913-121432-3.jpg', 'data/deepweeds/images/20171025-100510-2.jpg', 'data/deepweeds/images/20171102-121717-1.jpg']","['Parthenium', 'Parthenium', 'Parthenium', 'Parkinsonia']",Parthenium,"['data/deepweeds/images/20171109-093602-2.jpg', 'data/deepweeds/images/20170906-095420-4.jpg']","['Rubber vine', 'Parthenium']",Parthenium,['data/deepweeds/images/20171113-135152-1.jpg'],['Siam weed'],Parthenium,[],[]
91,data/deepweeds/images/20170913-110133-3.jpg,Rubber vine,Rubber vine,"['data/deepweeds/images/20171025-100510-2.jpg', 'data/deepweeds/images/20171109-093143-1.jpg', 'data/deepweeds/images/20171113-142059-2.jpg', 'data/deepweeds/images/20171109-093551-2.jpg', 'data/deepweeds/images/20180125-100709-2.jpg', 'data/deepweeds/images/20180112-081137-2.jpg', 'data/deepweeds/images/20170920-095313-3.jpg', 'data/deepweeds/images/20171102-123535-3.jpg']","['Parthenium', 'Rubber vine', 'Siam weed', 'Rubber vine', 'Negative', 'Negative', 'Parkinsonia', 'Parkinsonia']",Rubber vine,"['data/deepweeds/images/20180125-100709-2.jpg', 'data/deepweeds/images/20171109-093602-2.jpg', 'data/deepweeds/images/20170718-132737-2.jpg', 'data/deepweeds/images/20171025-075255-3.jpg']","['Negative', 'Rubber vine', 'Snake weed', 'Parthenium']",Rubber vine,"['data/deepweeds/images/20171102-103736-2.jpg', 'data/deepweeds/images/20170727-124521-1.jpg']","['Parkinsonia', 'Prickly acacia']",Rubber vine,['data/deepweeds/images/20170714-110205-1.jpg'],['Lantana'],Rubber vine,[],[]
92,data/deepweeds/images/20171109-093551-2.jpg,Rubber vine,Lantana,"['data/deepweeds/images/20170906-105453-1.jpg', 'data/deepweeds/images/20180125-100709-2.jpg', 'data/deepweeds/images/20171025-092626-2.jpg', 'data/deepweeds/images/20171113-135152-1.jpg', 'data/deepweeds/images/20171102-121717-1.jpg', 'data/deepweeds/images/20171025-080031-3.jpg', 'data/deepweeds/images/20170728-120256-2.jpg', 'data/deepweeds/images/20170210-142848-0.jpg']","['Parthenium', 'Negative', 'Parthenium', 'Siam weed', 'Parkinsonia', 'Parthenium', 'Prickly acacia', 'Snake weed']",Negative,"['data/deepweeds/images/20171212-094952-1.jpg', 'data/deepweeds/images/20170920-130439-2.jpg', 'data/deepweeds/images/20171205-134436-2.jpg', 'data/deepweeds/images/20171113-133118-3.jpg']","['Negative', 'Parkinsonia', 'Negative', 'Siam weed']",Rubber vine,"['data/deepweeds/images/20171109-093602-2.jpg', 'data/deepweeds/images/20171102-121717-1.jpg']","['Rubber vine', 'Parkinsonia']",Lantana,['data/deepweeds/images/20170630-154706-0.jpg'],['Snake weed'],Negative,[],[]
93,data/deepweeds/images/20170706-130402-3.jpg,Lantana,Siam weed,"['data/deepweeds/images/20171121-084910-1.jpg', 'data/deepweeds/images/20170210-133043-0.jpg', 'data/deepweeds/images/20170410-160127-0.jpg', 'data/deepweeds/images/20171025-082133-3.jpg', 'data/deepweeds/images/20170913-110133-3.jpg', 'data/deepweeds/images/20170714-140705-1.jpg', 'data/deepweeds/images/20180109-103216-1.jpg', 'data/deepweeds/images/20170210-142422-0.jpg']","['Siam weed', 'Chinee apple', 'Snake weed', 'Parthenium', 'Rubber vine', 'Lantana', 'Negative', 'Snake weed']",Snake weed,"['data/deepweeds/images/20170920-095313-3.jpg', 'data/deepweeds/images/20180109-080158-1.jpg', 'data/deepweeds/images/20170811-130004-1.jpg', 'data/deepweeds/images/20170715-174216-1.jpg']","['Parkinsonia', 'Negative', 'Chinee apple', 'Lantana']",Siam weed,"['data/deepweeds/images/20170630-154442-0.jpg', 'data/deepweeds/images/20170729-092929-2.jpg']","['Snake weed', 'Prickly acacia']",Siam weed,['data/deepweeds/images/20171113-140251-1.jpg'],['Siam weed'],Lantana,[],[]
94,data/deepweeds/images/20170728-153152-2.jpg,Prickly acacia,Negative,"['data/deepweeds/images/20170714-142559-2.jpg', 'data/deepweeds/images/20170210-142647-0.jpg', 'data/deepweeds/images/20170127-101415-0.jpg', 'data/deepweeds/images/20180125-100709-2.jpg', 'data/deepweeds/images/20171109-074327-1.jpg', 'data/deepweeds/images/20170304-124640-0.jpg', 'data/deepweeds/images/20171113-140251-1.jpg', 'data/deepweeds/images/20171212-095841-3.jpg']","['Lantana', 'Snake weed', 'Lantana', 'Negative', 'Rubber vine', 'Chinee apple', 'Siam weed', 'Negative']",Snake weed,"['data/deepweeds/images/20170913-110133-3.jpg', 'data/deepweeds/images/20170727-120008-3.jpg', 'data/deepweeds/images/20171109-194851-1.jpg', 'data/deepweeds/images/20171025-075255-3.jpg']","['Rubber vine', 'Prickly acacia', 'Rubber vine', 'Parthenium']",Negative,"['data/deepweeds/images/20171113-135152-1.jpg', 'data/deepweeds/images/20170706-130402-3.jpg']","['Siam weed', 'Lantana']",Negative,['data/deepweeds/images/20170714-110205-1.jpg'],['Lantana'],Negative,[],[]
95,data/deepweeds/images/20171025-082114-2.jpg,Parthenium,Lantana,"['data/deepweeds/images/20170913-121432-3.jpg', 'data/deepweeds/images/20171113-140251-1.jpg', 'data/deepweeds/images/20171113-133118-3.jpg', 'data/deepweeds/images/20170210-133043-0.jpg', 'data/deepweeds/images/20170714-120648-3.jpg', 'data/deepweeds/images/20170811-133144-1.jpg', 'data/deepweeds/images/20171113-135152-1.jpg', 'data/deepweeds/images/20170920-110443-2.jpg']","['Parthenium', 'Siam weed', 'Siam weed', 'Chinee apple', 'Lantana', 'Chinee apple', 'Siam weed', 'Parkinsonia']",Lantana,"['data/deepweeds/images/20170811-162102-1.jpg', 'data/deepweeds/images/20170718-132000-2.jpg', 'data/deepweeds/images/20171025-075255-3.jpg', 'data/deepweeds/images/20170920-110443-2.jpg']","['Chinee apple', 'Chinee apple', 'Parthenium', 'Parkinsonia']",Lantana,"['data/deepweeds/images/20170630-154706-0.jpg', 'data/deepweeds/images/20170728-152004-1.jpg']","['Snake weed', 'Prickly acacia']",Lantana,['data/deepweeds/images/20171025-074729-2.jpg'],['Parthenium'],Lantana,[],[]
